LV,Phrase
A2,get out of sth
A2,give up
A2,give sth up
A2,go and…
A2,go and get help
A2,go away
A2,go down
A2,Prices are going down.
A2,go down sth
A2,Go down the road.
A2,go for sth
A2,go for a walk
A2,go up
A2,Prices are going up.
A2,good luck
A2,happen to sb/sth
A2,happy with sb/sth
A2,have a look
A2,have a look at sth
A2,have got to
A2,Have you ever…?
A2,health problems
A2,hear about sb/sth
A2,I don’t care
A2,if necessary
A2,if you want to
A2,I’m afraid…
A2,I mean
A2,in business
A2,in danger
A2,in history
A2,the first time in history
A2,in hospital
A2,in love
A2,in love with sb
A2,in prison
A2,in some cases
A2,instead of
A2,in the air
A2,in the end
A2,in the middle
A2,in the middle of sth
A2,in the same way
A2,in this way
A2,it depends
A2,it all depends
A2,I think so
A2,I don’t think so
A2,lead to sth
A2,less than…
A2,Let me…
A2,Let me help you.
A2,let me know
A2,look after sb/sth/yourself
A2,look back at sth
A2,Look back at your notes.
A2,look sth up
A2,make a mistake
A2,make money
A2,make sense
A2,make sure
A2,make sure of sth
A2,make sure that…
A2,much better
A2,not at all
A2,I didn’t enjoy it at all.
A2,no way
A2,No way!
A2,There is no way (that)…
A2,Oh dear
A2,Oh well
A2,old friend
A2,on earth
A2,on the ground
A2,on the other side
A2,on the other side of sth
A2,on the wall
A2,on time
A2,on top of sth/sb
A2,one or two
A2,ordinary people
A2,pay attention
A2,pay attention to sb/sth
A2,per hour
A2,kilometres per hour
A2,miles per hour
A2,pick sb/sth up
A2,police officer
A2,police station
A2,public transport
A2,put sth on
A2,quite a lot
A2,quite a lot of sth
A2,reasons why
A2,refer to sb/sth
A2,refer to sb/sth as sth
A2,report on sth
A2,respond to sth/sb
A2,save money
A2,science fiction
A2,search for sth/sb
A2,so that…
A2,solution to sth
A2,sort of sth
A2,What sorts of things do you do?
A2,sound like sb/sth
A2,start with sb/sth
A2,such a/an…
A2,such a good idea
A2,take care of sb/sth/yourself
A2,take off
A2,take sth off
A2,take part
A2,take part in sth
A2,take place
A2,the best thing
A2,the best thing to do
A2,the first thing
A2,the first thing I did
A2,the following…
A2,the following day
A2,the important thing
A2,the most important thing
A2,the other side of sth
A2,the other side of the world
A2,the rest of sth
A2,the rest of the world
A2,these days
A2,they say…
A2,They say you can’t buy happiness.
A2,throw sth away
A2,turn sth off
A2,turn sth on
A2,up and down
A2,Why not…?
A2,work out
A2,worried about sb/sth
A2,would love to do sth
A2,write sth down
B1,a bit more
B1,a bit of sth
B1,access to sth
B1,after all
B1,a great deal
B1,a great deal better
B1,a great deal of sth
B1,aim to do sth
B1,a kind of…
B1,I had a kind of feeling this might happen.
B1,a little bit
B1,a little more
B1,along with sb/sth
